Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Ecom1,Shipped,5/1/20,Edmond,OK,73034,LSO1,4/19/20,10.5,3
Ecom1,In Transit,5/1/20,Snohomish,WA,98296,FEH,4/22/20,20.2,6
Ecom1,In Transit,5/1/20,Denver,CO,80209,UPS,4/24/20,20.2,6
Ecom1,In Transit,5/1/20,San Diego,CA,92115,FXG,4/24/20,10.5,3
Ecom1,In Transit,5/1/20,Seattle,WA,98104,FEH,4/26/20,39,12
Ecom1,In Transit,5/1/20,Palm Springs,CA,92262,FEH,4/26/20,10.5,3
Ecom1,In Transit,5/1/20,Marina Del Rey,CA,90292,FEH,4/26/20,24,7
Ecom1,Shipped,5/1/20,Altus,OK,73521,LSO1,4/26/20,20.2,6
Ecom1,In Transit,5/1/20,Austin,TX,78751,FEH,4/26/20,17.2,5
Ecom1,In Transit,5/1/20,Santa Monica,CA,90404,FEH,4/27/20,20.2,6
Ecom1,Delivery Attempt,5/1/20,Valley Village,CA,91607,FEH,4/27/20,20.2,6
Ecom1,In Transit,5/1/20,Fort Collins,CO,80525,FEH,4/27/20,20.2,6
Ecom1,Delivered,5/1/20,San Bruno,CA,94066,FEH,4/27/20,10.5,3
Ecom1,Delivered,5/1/20,Portland,OR,97233,FEH,4/27/20,20.2,6
Ecom1,In Transit,5/1/20,lincoln,NE,68526,FEH,4/27/20,20.2,6
Ecom1,In Transit,5/1/20,Englewood,CO,80112,FEH,4/27/20,20.2,6
Ecom1,In Transit,5/1/20,ALLEN,TX,75002,FEH,4/27/20,20.2,6
Ecom1,Delivered,5/1/20,Monterey Park,CA,91755,FEH,4/28/20,20,6
Ecom1,Shipped,5/1/20,Birmingham,AL,35203,LSO1,4/27/20,20.2,6
Ecom1,Shipped,5/1/20,Fairfax,VA,22030,FEH,4/27/20,39,12
Ecom1,Shipped,5/1/20,Brooklyn,NY,11233,FEH,4/27/20,39,12
Ecom1,Shipped,5/1/20,King of Prussia,PA,19406,FEH,4/27/20,39,12
Ecom1,Delivery Attempt,5/1/20,GLENDALE,CA,91202-2463,FEH,4/28/20,10,3
Ecom1,Delivered,5/1/20,San Francisco,CA,94105,FEH,4/28/20,10,3
Ecom1,Delivered,5/1/20,Vancouver,WA,98664,FEH,4/28/20,20,6
Ecom1,In Transit,5/1/20,Baytown,TX,77521,FEH,4/28/20,10,3
Ecom1,Delivered,5/1/20,San Francisco,CA,94109,FEH,4/28/20,10,3
Ecom1,In Transit,5/1/20,Dickinson,ND,58601,FEH,4/28/20,10,3
Ecom1,In Transit,5/1/20,Paradise Valley,AZ,85253,FEH,4/28/20,10,3
Ecom1,Delivered,5/1/20,Redondo Beach,CA,90278,FEH,4/28/20,30,9
Ecom1,Delivered,5/1/20,Santa Cruz,CA,95062,FEH,4/28/20,30,9
Ecom1,In Transit,5/1/20,Los Angeles,CA,90094,FEH,4/28/20,20,6
Ecom1,Delivered,5/1/20,Torrance,CA,90504,FEH,4/28/20,20,6
Ecom1,Delivery Attempt,5/1/20,Los Angeles,CA,90045,FEH,4/28/20,20,6
Ecom1,In Transit,5/1/20,San Diego,CA,92103,FEH,4/28/20,10,3
Ecom1,In Transit,5/1/20,Santa Fe,NM,87505,FEH,4/28/20,20,6
Ecom1,Shipped,5/1/20,Charleston,SC,29414,FEH,4/28/20,19.5,6
Ecom1,In Transit,5/1/20,Trophy Club,TX,76262,FEH,4/28/20,39,12
Ecom1,Delivery Attempt,5/1/20,Los Angeles,CA,90045,FEH,4/28/20,20,6
Ecom1,Shipped,5/1/20,St Pete Beach,FL,33706,FEH,4/28/20,39,12
Ecom1,Shipped,5/1/20,Atlanta,GA,30340,FEH,4/28/20,10.5,3
Ecom1,Shipped,5/1/20,New Albany,OH,43054,FEH,4/28/20,39,12
Ecom1,Shipped,5/1/20,New Albany,OH,43054,FEH,4/28/20,4,1
Ecom1,Delivered,5/1/20,Marina,CA,93933,FEH,4/28/20,20.2,6
Ecom1,In Transit,5/1/20,Fort Worth,TX,76103,FEH,4/28/20,10,3
Ecom1,Shipped,5/1/20,Timonium,MD,21093,FEH,4/28/20,20.2,6
Ecom1,In Transit,5/1/20,Santa Barbara,CA,93105,FEH,4/28/20,10,3
Ecom1,Delivered,5/1/20,bodega,CA,94922-0010,FEH,4/28/20,20.2,6
Ecom1,Shipped,5/1/20,Venice,FL,34285,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Brielle,NJ,8730,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Suamico,WI,54313,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Torrington,CT,6790,FXG,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Scituate,MA,2066,FEH,4/29/20,4,1
Ecom1,Delivered,5/1/20,Los Angeles,CA,90039,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Indianapolis,IN,46204,FXG,4/29/20,10,3
Ecom1,Shipped,5/1/20,Forest hills,NY,11375,FEH,4/29/20,10,3
Ecom1,In Transit,5/1/20,Los Angeles,CA,90027,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,West Des Moines,IA,50266,UPS,4/29/20,10,3
Ecom1,Shipped,5/1/20,Hoboken,NJ,7030,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Western Springs,IL,60558,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Columbus,GA,31909,FEH,4/29/20,10,3
Ecom1,In Transit,5/1/20,Houston,TX,77064-7075,FEH,4/29/20,10,3
Ecom1,Delivered,5/1/20,Martinez,CA,94553,FEH,4/29/20,10,3
Ecom1,Delivered,5/1/20,Dove Canyon,CA,92679,FEH,4/29/20,10,3
Ecom1,Delivered,5/1/20,Hanford,CA,93230,FEH,4/29/20,20,6
Ecom1,Shipped,5/1/20,Swarthmore,PA,19081,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Far Hills,NJ,7931,FEH,4/29/20,19.5,6
Ecom1,Shipped,5/1/20,WASHINGTON,DC,20024,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Cleveland,TN,37311,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Knoxville,TN,37932,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Concord,NH,3301,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Sanibel,FL,33957,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Bethel,CT,6801,FEH,4/29/20,23.2,7
Ecom1,Shipped,5/1/20,Tampa,FL,33604,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Charlottesville,VA,22901,FEH,4/29/20,10,3
Ecom1,Shipped,5/1/20,Oshkosh,WI,54901,FEH,4/29/20,20,6
Ecom1,Shipped,5/1/20,Pittsburgh,PA,15207,FEH,4/29/20,20,6
Ecom1,Shipped,5/1/20,Moreland Hills,OH,44022,FXG,4/29/20,23,7
Ecom1,Shipped,5/1/20,MARIETTA,GA,30062,FEH,4/29/20,20,6
Ecom1,Shipped,5/1/20,Philadelphia,PA,19146,FXG,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Greensburg,PA,15601,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Charlotte,NC,28273,FXG,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Highland,NY,12528,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,New York,NY,10033,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Philadelphia,PA,19147,FEH,4/29/20,39,12
Ecom1,Shipped,5/1/20,Sewickley,PA,15143,FEH,4/29/20,10.5,3
Ecom1,In Transit,5/1/20,Austin,TX,78704,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Sterling Heights,MI,48313,FEH,4/29/20,10.5,3
Ecom1,Delivered,5/1/20,San Diego,CA,92128,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Coral Springs,FL,33067,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,New York,NY,10003,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Fredericksburg,VA,22407,FEH,4/29/20,24,7
Ecom1,Shipped,5/1/20,Franklin,TN,37064,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Ashland,MA,1721,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,North Chesterfield,VA,23236,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Washington,DC,20002,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,East Hampton,CT,6424,FEH,4/29/20,20.2,6
Ecom1,In Transit,5/1/20,Englewood,CO,80110-1006,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Greenwood Lake,NY,10925,FEH,4/29/20,39,12
Ecom1,Shipped,5/1/20,ARLINGTON,VA,22202-4116,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Lusby,MD,20657,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Shelter Island,NY,11964,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Bethesda,MD,20814,UPS,4/29/20,39,12
Ecom1,Delivered,5/1/20,LOS ANGELES,CA,90068,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Pine Bush,NY,12566-5204,FEH,4/29/20,10.5,3
Ecom1,Shipped,5/1/20,Keokuk,IA,52632,FEH,4/29/20,20.2,6
Ecom1,Shipped,5/1/20,Jasper,TN,37347,FEH,4/29/20,10.5,3
Ecom1,Delivered,5/1/20,San Jose,CA,95124,FEH,4/30/20,20,6
Ecom1,In Transit,5/1/20,Portales,NM,88130,FEH,4/30/20,10,3
Ecom1,Delivered,5/1/20,Palo Alto,CA,94306,FEH,4/30/20,10,3
Ecom1,Delivery Attempt,5/1/20,Hillsboro,OR,97123,FEH,4/30/20,13,4
Ecom1,In Transit,5/1/20,San Diego,CA,92123,FXG,4/30/20,20.2,6
Ecom1,Delivered,5/1/20,Gold Canyon,AZ,85118,FEH,4/30/20,39,12
Ecom1,In Transit,5/1/20,Santa Monica,CA,90405,FEH,4/30/20,10.5,3
Ecom1,In Transit,5/1/20,Renton,WA,98056,FEH,4/30/20,39,12
Ecom1,Delivered,5/1/20,Woodland Hills,CA,91364,FEH,4/30/20,10.5,3
Ecom1,Delivered,5/1/20,Los Angeles,CA,90016,FEH,4/30/20,39,12
Ecom1,In Transit,5/1/20,San leon,TX,77539,FEH,4/30/20,20.2,6
Ecom1,In Transit,5/1/20,Copperopolis,CA,95228,FEH,4/30/20,39,12
Ecom1,In Transit,5/1/20,Aurora,CO,80016,FXG,4/30/20,33,10
Ecom1,Shipped,5/1/20,Edmond,OK,73025,LSO1,4/30/20,39,12
Ecom1,Delivered,5/1/20,Crockett,CA,94525,FEH,4/30/20,20.2,6
