,Blue State,Total Item/Bottle Count
0,Arizona,16378.0
1,California,130312.0
2,Colordao,27802.0
3,Connecticut,24062.0
4,District of Columbia,8288.0
5,Delaware,1289.0
6,Georgia,34693.0
7,Hawaii,9666.0
8,Illinois,51356.0
9,Maine,5007.0
10,Maryland,29515.0
11,Massachusetts,43665.0
12,Michigan,36218.0
13,Minnesota,15040.0
14,Nevada,6802.0
15,New Hampshire,6015.0
16,New Jersey,61171.0
17,New Mexico,4487.0
18,New York,119653.0
19,Oregon,11952.0
20,Pennsylvania,82215.0
21,Rhode Island,7767.0
22,Vermont,3703.0
23,Virginia,40075.0
24,Washington,19176.0
25,Wisconsin,13768.0
