,Blue State,Total Item/Bottle Count_Blue,Red State,Total Item/Bottle Count_Red
0,Arizona,16882.0,Alabama,1229.0
1,California,109697.0,Alaska,2076.0
2,Colordao,27844.0,Arkansas,5121.0
3,Connecticut,21934.0,Florida,79220.0
4,District of Columbia,8089.0,Idaho,3517.0
5,Delaware,2053.0,Indiana,15893.0
6,Georgia,31870.0,Iowa,5918.0
7,Hawaii,11142.0,Kansas,7216.0
8,Illinois,42583.0,Kentucky,853.0
9,Maine,5630.0,Louisiana,8914.0
10,Maryland,28296.0,Missouri,12324.0
11,Massachusetts,43842.0,Montana,3063.0
12,Michigan,32801.0,Nebraska,4781.0
13,Minnesota,14836.0,North Carolina,29491.0
14,Nevada,6966.0,North Dakota,1793.0
15,New Hampshire,6149.0,Ohio,33250.0
16,New Jersey,58695.0,Oklahoma,4705.0
17,New Mexico,4065.0,South Carolina,15546.0
18,New York,108154.0,South Dakota,1899.0
19,Oregon,12011.0,Tennessee,19222.0
20,Pennsylvania,69833.0,Texas,61779.0
21,Rhode Island,7125.0,West Virginia,2965.0
22,Vermont,3339.0,Wyoming,2006.0
23,Virginia,36481.0,,
24,Washington,19606.0,,
25,Wisconsin,12753.0,,
