Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Ecom3,In Transit,1/2/20,Plantation,FL,33325,UPS,1/1/20,9.9,3
Ecom3,Carrier Exception,1/2/20,Lafayette,CA,94549,UPS,12/31/19,35,10
Ecom3,Delivered,1/2/20,New York,NY,10022,FEH,1/1/20,29,8
Ecom3,Delivered,1/3/20,New York,NY,10006,FEH,1/2/20,21.5,6
Ecom3,In Transit,1/2/20,Walkersville,MD,21793,FXG,12/31/19,41,12
Ecom3,In Transit,1/3/20,Clarence,NY,14031,FEH,1/2/20,21.5,6
Ecom3,In Transit,1/2/20,Dallas,TX,75225,UPS,1/1/20,21.5,6
Ecom3,Delivered,1/2/20,Brooklyn,NY,11201,FXG,12/31/19,32,9
Ecom3,In Transit,1/2/20,Estero,FL,34135-8211,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Beverly Hills,CA,90211,UPS,1/1/20,21.5,6
Ecom3,Delivered,1/2/20,Maspeth,NY,11378,FEH,1/1/20,21.5,6
Ecom3,In Transit,1/3/20,San Diego,CA,92101,UPS,1/3/20,21.5,6
Ecom3,In Transit,1/2/20,Powell,OH,43065,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Santa Fe,NM,87501,FEH,12/31/19,41,12
Ecom3,Delivered,1/2/20,Hicksville,NY,11801,FEH,12/31/19,41,12
Ecom3,Delivered,1/2/20,Hicksville,NY,11801,FEH,12/31/19,35,10
Ecom3,In Transit,1/3/20,GREENWICH,CT,6830,UPS,1/2/20,21.5,6
Ecom3,In Transit,1/3/20,Marysville,OH,43040,UPS,1/2/20,18.5,5
Ecom3,Carrier Exception,1/2/20,Rochester Hills,MI,48309,UPS,12/31/19,41,12
Ecom3,In Transit,1/2/20,Kingston,WA,98346,UPS,1/1/20,21.5,6
Ecom3,Delivered,1/2/20,New York,NY,10022,FEH,1/1/20,7,2
Ecom3,In Transit,1/3/20,Petaluma,CA,94953,UPS,1/3/20,21.5,6
Ecom3,In Transit,1/3/20,Bensalem,PA,19020,UPS,1/2/20,14,4
Ecom3,In Transit,1/2/20,Boulder,CO,80303,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Frisco,TX,75034,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Mabank,TX,75147,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/3/20,Hanover,MD,21076,FXG,1/3/20,35,10
Ecom3,In Transit,1/2/20,Washington Twp,MI,48094,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Shreveport,LA,71101,UPS,12/31/19,21.5,6
Ecom3,Delivered,1/2/20,Melville,NY,11747,FEH,12/31/19,41,12
Ecom3,Carrier Exception,1/2/20,Landenberg,PA,19350,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Honolulu,HI,96819,UPS,12/31/19,21.5,6
Ecom3,In Transit,1/2/20,Allen Park,MI,48101,UPS,12/31/19,21.5,6
Ecom3,In Transit,1/3/20,New York,NY,10016,FXG,1/2/20,21.5,6
Ecom3,Delivered,1/3/20,DEDHAM,MA,02026-4035,FEH,1/2/20,21.5,6
Ecom3,In Transit,1/3/20,Jessup,MD,20794,FXG,1/2/20,21.5,6
Ecom3,In Transit,1/2/20,Independence,OH,44131,UPS,12/31/19,21.5,6
Ecom3,In Transit,1/2/20,Nashua,NH,3064,UPS,12/31/19,21.5,6
Ecom3,Delivered,1/2/20,Shelby Township,MI,48315,UPS,1/1/20,21.5,6
Ecom3,Delivered,1/2/20,Branchburg,NJ,8876,UPS,12/31/19,14,4
Ecom3,In Transit,1/3/20,Pensacola,FL,32503,UPS,1/2/20,29,8
Ecom3,In Transit,1/2/20,Lubbock,TX,79410,UPS,1/2/20,21.5,6
Ecom3,In Transit,1/2/20,Lauderdale-by-the-Sea,FL,33062,UPS,1/2/20,21.5,6
Ecom3,Delivered,1/3/20,Mahassett,NY,11030-2504,FEH,1/2/20,29,8
Ecom3,In Transit,1/3/20,miami,FL,33179,UPS,1/2/20,21.5,6
Ecom3,In Transit,1/3/20,Clarksville,TN,37040,UPS,1/2/20,14,4
Ecom3,In Transit,1/2/20,Rockport,IN,47635,UPS,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Austin,TX,78739,UPS,12/31/19,9.9,3
Ecom3,Delivered,1/2/20,LOCUST VALLEY,NY,11560-1133,FXG,1/2/20,21.5,6
Ecom3,In Transit,1/2/20,Tampa,FL,33613,UPS,12/31/19,41,12
Ecom3,Delivered,1/2/20,New York,NY,10021,FEH,1/2/20,32,9
Ecom3,In Transit,1/2/20,La Quinta,CA,92253,UPS,12/31/19,41,12
Ecom3,In Transit,1/2/20,New York,NY,10014,FXG,1/1/20,21.5,6
Ecom3,In Transit,1/2/20,Wichita,KS,67226,UPS,1/1/20,41,12
Ecom3,Delivered,1/2/20,Fall River,MA,2724,FXG,1/1/20,7,2
