Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Ecom3,In Transit,3/4/20,Frisco,TX,75036,UPS,3/4/20,21.5,6
Ecom3,Delivered,3/2/20,Montclair,NJ,7043,UPS,2/29/20,21.5,6
Ecom3,Delivered,3/3/20,SILVER SPRING,MD,20901-3101,FEH,3/1/20,41,12
Ecom3,Delivered,3/2/20,Montclair,NJ,7043,UPS,2/29/20,29,8
Ecom3,In Transit,3/3/20,Spring Lake,MI,49456,UPS,3/3/20,7,2
Ecom3,In Transit,3/2/20,MURRYSVILLE,PA,15668-1933,UPS,2/29/20,21.5,6
Ecom3,In Transit,3/3/20,DALLAS,TX,75235-2010,UPS,3/3/20,35,10
Ecom3,Delivered,3/2/20,New York,NY,10023,FEH,2/29/20,14,4
Ecom3,Delivered,3/2/20,Manlius,NY,13104,FEH,2/29/20,21.5,6
Ecom3,In Transit,3/3/20,Edgemont,PA,19028,UPS,2/29/20,14,4
Ecom3,Delivered,3/2/20,Laytonsville,MD,20882,FEH,2/28/20,9.9,3
Ecom3,In Transit,3/6/20,Santa Monica,CA,90403,UPS,3/6/20,21.5,6
Ecom3,Delivered,3/2/20,Waukesha,WI,53188,UPS,3/2/20,21.5,6
Ecom3,Delivered,3/4/20,Rumson,NJ,7760,UPS,3/4/20,41,12
Ecom3,Delivered,3/4/20,Rumson,NJ,7760,UPS,3/4/20,41,12
Ecom3,Delivered,3/4/20,Wilmington,NC,28401,UPS,3/3/20,29,8
Ecom3,Delivered,3/2/20,Manhattan,NY,10003,FXG,2/29/20,41,12
Ecom3,Delivered,3/2/20,Manhattan,NY,10003,FXG,2/29/20,7,2
Ecom3,Delivered,3/2/20,Miami,FL,33156,UPS,2/29/20,21.5,6
Ecom3,Delivered,3/2/20,SCOTTSDALE,AZ,85254,UPS,2/29/20,14,","
Ecom3,Delivered,3/3/20,YERINGTON,NV,89447-2230,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/3/20,Richmond,TX,77406,UPS,3/2/20,14,4
Ecom3,In Transit,3/4/20,Mankato,MN,56001,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/3/20,Philadelphia,PA,19103,UPS,3/2/20,21.5,6
Ecom3,In Transit,3/4/20,norwalk,CT,6854,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/2/20,PITTSBURGH,PA,15232-1436,UPS,2/29/20,21.5,6
Ecom3,In Transit,3/3/20,Boca Raton,FL,33432,UPS,3/2/20,21.5,6
Ecom3,In Transit,3/5/20,JOHNS CREEK,GA,30022,UPS,3/5/20,32,9
Ecom3,Delivered,3/2/20,Plymouth,CT,6782,UPS,3/2/20,9.9,3
Ecom3,Delivered,3/2/20,Westlake Village,CA,91362,UPS,3/1/20,9.9,3
Ecom3,Delivered,3/4/20,Watchung,NJ,7069,UPS,3/4/20,21.5,6
Ecom3,Delivered,3/4/20,New York,NY,10065,FEH,3/3/20,7,2
Ecom3,In Transit,3/4/20,Lititz,PA,17543,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/4/20,Fort Washington,PA,19034,UPS,3/4/20,21.5,6
Ecom3,In Transit,3/4/20,Lexington,VA,24450,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/4/20,Tysons,VA,22102,UPS,3/3/20,21.5,6
Ecom3,Delivered,3/2/20,Redwood City,CA,94061,UPS,2/29/20,21.5,6
Ecom3,In Transit,3/3/20,Weston,CT,6883,UPS,3/1/20,3.35,1
Ecom3,Carrier Exception,3/4/20,Indianapolis,IN,46201,UPS,3/3/20,21.5,6
Ecom3,Delivered,3/2/20,Ormond Beach,FL,32174,FEX,2/29/20,7,2
Ecom3,Delivered,3/4/20,Berkeley Heights,NJ,7922,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/4/20,New York,NY,10016,FXG,2/28/20,9.9,3
Ecom3,Delivered,3/4/20,SCOTTSDALE,AZ,85253,UPS,3/4/20,21.5,6
Ecom3,In Transit,3/4/20,AGOURA,CA,91301,FXG,3/2/20,21.5,6
Ecom3,In Transit,3/4/20,Charleston,SC,29492,UPS,3/4/20,21.5,6
Ecom3,Delivered,3/2/20,Mars,PA,16046,UPS,2/29/20,29,8
Ecom3,In Transit,3/5/20,Topanga,CA,90290,UPS,3/4/20,21.5,6
Ecom3,In Transit,3/6/20,Quitaque,TX,79255,UPS,3/6/20,18.5,5
Ecom3,In Transit,3/6/20,philadelphia,PA,19103,UPS,3/5/20,21.5,6
Ecom3,Delivered,3/3/20,West Roxbury,MA,2132,FEH,3/2/20,21.5,6
Ecom3,Delivered,3/2/20,Parker,CO,80138,UPS,3/1/20,21.5,6
Ecom3,In Transit,3/4/20,NAPLES,FL,34108,UPS,3/4/20,41,12
Ecom3,Delivered,3/2/20,Chicago,IL,60611,UPS,3/2/20,21.5,6
Ecom3,Delivered,3/2/20,Hinesville,GA,31313,UPS,2/29/20,14,4
Ecom3,Delivered,3/2/20,Dallas,TX,75204,UPS,2/29/20,14,4
Ecom3,Delivered,3/4/20,Bethesda,MD,20816,FEH,3/3/20,21.5,6
Ecom3,Delivered,3/4/20,Watertown,CT,6795,UPS,3/3/20,21.5,6
Ecom3,Delivered,3/2/20,New York,NY,10009,FEH,2/29/20,14,4
Ecom3,Delivered,3/2/20,West Long Branch,NJ,7764,UPS,3/2/20,21.5,6
Ecom3,Delivered,3/5/20,Yorba Linda,CA,92886,UPS,3/5/20,9.9,3
Ecom3,Delivered,3/3/20,Arlington,VA,22204,UPS,3/2/20,21.5,6
Ecom3,In Transit,3/4/20,Kill Devil Hills,NC,27948,UPS,3/3/20,41,12
Ecom3,In Transit,3/2/20,INDIANAPOLIS,IN,46259,UPS,3/1/20,14,4
Ecom3,Delivered,3/2/20,Winston-Salem,NC,27104,UPS,2/29/20,41,12
Ecom3,Delivered,3/3/20,LAS VEGAS,NV,89139,UPS,3/2/20,21.5,6
Ecom3,Delivered,3/2/20,Philadelphia,PA,19103,UPS,3/1/20,18.5,5
Ecom3,Delivered,3/3/20,MONTGOMERYVILLE,PA,18936-9649,UPS,3/3/20,21.5,6
Ecom3,Delivered,3/3/20,jasper,GA,30143,UPS,3/2/20,21.5,6
Ecom3,In Transit,3/4/20,Selden,NY,11784,FEH,3/4/20,21.5,6
Ecom3,Carrier Exception,3/2/20,Hot Springs,AR,71913,UPS,3/1/20,21.5,6
Ecom3,Delivered,3/2/20,New York,NY,10036,FXG,2/28/20,7,2
Ecom3,Delivered,3/4/20,WAIKOLOA,HI,96738,UPS,2/28/20,7,2
Ecom3,In Transit,3/4/20,McLean,VA,22102,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/3/20,Rochester,MN,55902,UPS,3/2/20,21.5,6
Ecom3,Delivered,3/2/20,Morgantown,WV,26508,UPS,2/29/20,9.9,3
Ecom3,Delivered,3/2/20,Los Angeles,CA,90046,UPS,2/29/20,21.5,6
Ecom3,Delivered,3/2/20,Honolulu,HI,96818,UPS,3/1/20,7,2
Ecom3,Delivered,3/2/20,Wayne,NJ,7470,UPS,3/1/20,41,12
Ecom3,In Transit,3/4/20,Austin,TX,78738,UPS,3/3/20,21.5,6
Ecom3,Carrier Exception,3/4/20,San Francisco,CA,94109,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/6/20,Houston,TX,77042,UPS,3/6/20,14,4
Ecom3,Delivered,3/2/20,Plano,TX,75074,UPS,2/29/20,21.5,6
Ecom3,Delivered,3/2/20,Camarillo,CA,93010,UPS,2/29/20,14,4
Ecom3,Carrier Exception,3/2/20,Tallahassee,FL,32309,UPS,3/1/20,21.5,6
Ecom3,Delivered,3/2/20,Encinitas,CA,92024,UPS,2/29/20,21.5,6
Ecom3,In Transit,3/5/20,NEW YORK,NY,10010,FEH,3/4/20,41,12
Ecom3,Delivered,3/4/20,Mount Pleasant,SC,29464,UPS,3/3/20,21.5,6
Ecom3,Delivered,3/2/20,Burlingame,CA,94010,UPS,3/1/20,21.5,6
Ecom3,In Transit,3/6/20,Pacific Palisades,CA,90272-4248,UPS,3/5/20,21.5,6
Ecom3,In Transit,3/3/20,Evans,GA,30809,UPS,3/3/20,3.35,1
Ecom3,In Transit,3/4/20,Silverthorne,CO,80498,UPS,3/4/20,21.5,6
Ecom3,Delivered,3/6/20,Moraga,CA,94556,UPS,3/6/20,21.5,6
Ecom3,In Transit,3/4/20,NAPLES,FL,34103,UPS,3/4/20,21.5,6
Ecom3,Delivered,3/2/20,Tacoma,WA,98402,UPS,2/29/20,21.5,6
Ecom3,Delivered,3/4/20,Philadelphia,PA,19103,UPS,3/3/20,21.5,6
Ecom3,Delivered,3/2/20,Charlotte,NC,28278,UPS,3/2/20,41,12
Ecom3,Delivered,3/2/20,RIVERWOODS,IL,60015,UPS,3/1/20,21.5,6
Ecom3,Delivered,3/2/20,ALIQUIPPA,PA,15001-9442,UPS,3/2/20,21.5,6
Ecom3,In Transit,3/5/20,Honolulu,HI,96813,UPS,3/5/20,21.5,6
Ecom3,Delivered,3/2/20,Spring city,PA,19475,UPS,3/1/20,21.5,6
Ecom3,In Transit,3/3/20,Brooklyn,NY,11201,FXG,2/29/20,14,4
Ecom3,In Transit,3/4/20,Naples,FL,34120,UPS,3/3/20,21.5,6
Ecom3,In Transit,3/2/20,Greenwich,CT,6830,UPS,2/27/20,32,9
Ecom3,In Transit,3/5/20,San Diego,CA,92127,UPS,3/4/20,21.5,6
Ecom3,In Transit,3/5/20,HONOLULU,HI,96813,UPS,3/4/20,21.5,6
Ecom3,Delivered,3/2/20,Vacaville,CA,95687,UPS,2/29/20,21.5,6
Ecom3,Delivered,3/2/20,Kapaa,HI,96746,UPS,3/1/20,35,10
Ecom3,Delivered,3/2/20,Columbus,OH,43229,UPS,2/29/20,21.5,6
