Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Ecom3,Delivered,12/1/2020,Paoli,PA,19301,UPS,11/30/2020,21.5,6
Ecom3,In Transit,12/4/2020,Deerfield,IL,60015,UPS,12/3/2020,26,7
Ecom3,Delivered,12/2/2020,Lambertville,MI,48144,UPS,12/1/2020,21.5,6
Ecom3,Delivered,12/1/2020,San Jose,CA,95125,UPS,11/28/2020,41,12
Ecom3,Delivered,12/1/2020,Belton,SC,29627,UPS,11/29/2020,21.5,6
Ecom3,Delivered,12/2/2020,Narragansett,RI,2882,UPS,12/2/2020,20.5,3
Ecom3,Delivered,12/2/2020,Narragansett,RI,2882,UPS,12/2/2020,9.9,3
Ecom3,Delivered,12/1/2020,Holmdel,NJ,7733,UPS,11/30/2020,21.5,6
Ecom3,Delivered,12/2/2020,Bloomington,IN,47403,UPS,12/1/2020,21.5,6
Ecom3,Delivered,12/3/2020,manalapan,NJ,7726,UPS,12/2/2020,14,4
Ecom3,Delivered,12/4/2020,Paoli,PA,19301,UPS,12/3/2020,9.9,3
Ecom3,Delivered,12/2/2020,NEW YORK,NY,10010,FEH,12/1/2020,18.5,5
Ecom3,Delivered,12/2/2020,Los Altos,CA,94024,UPS,12/1/2020,21.5,6
Ecom3,Delivered,12/1/2020,Rancho Viejo,TX,78575,UPS,11/29/2020,9.9,3
Ecom3,Delivered,12/2/2020,Sacramento,CA,95821,UPS,12/2/2020,27,4
Ecom3,In Transit,12/2/2020,Schofield,WI,54476,UPS,12/2/2020,9.9,3
Ecom3,Delivered,12/1/2020,Milpitas,CA,95035,UPS,11/28/2020,18.5,5
Ecom3,In Transit,12/4/2020,Durham,NC,27710,UPS,12/3/2020,21.5,6
Ecom3,In Transit,12/1/2020,Houston,TX,77006,UPS,11/28/2020,41,12
Ecom3,Delivered,12/1/2020,Midland,MI,48640,UPS,11/30/2020,41,12
Ecom3,Delivered,12/2/2020,Costa Mesa,CA,92626,UPS,12/2/2020,27,4
Ecom3,Delivered,12/3/2020,Costa Mesa,CA,92626,UPS,12/2/2020,13.5,2
Ecom3,Delivered,12/1/2020,Coral Gables,FL,33134,UPS,11/30/2020,21.5,6
Ecom3,In Transit,12/3/2020,Orono,MN,55391,UPS,12/2/2020,27,4
Ecom3,In Transit,12/2/2020,Orono,MN,55391,UPS,12/2/2020,13.5,2
Ecom3,In Transit,12/3/2020,Tyler,TX,75703,UPS,12/3/2020,21.5,6
Ecom3,Delivered,12/3/2020,Waianae,HI,96792,UPS,12/2/2020,21.5,6
Ecom3,Delivered,12/3/2020,Clayton,CA,94517,UPS,12/3/2020,21.5,6
Ecom3,Delivered,12/1/2020,McLean,VA,22102,UPS,12/1/2020,21.5,6
Ecom3,Delivered,12/1/2020,Walnut,CA,91789,UPS,12/1/2020,9.9,3
Ecom3,In Transit,12/4/2020,Bethesda,MD,20817,FEH,12/4/2020,21.5,6
Ecom3,In Transit,12/3/2020,Miami Beach,FL,33141,UPS,12/2/2020,27,4
Ecom3,In Transit,12/2/2020,Miami Beach,FL,33141,UPS,12/2/2020,13.5,2
Ecom3,Delivered,12/4/2020,Richfield,OH,44286,UPS,12/3/2020,9.9,3
Ecom3,Delivered,12/1/2020,Honolulu,HI,96821,UPS,11/20/2020,21.5,6
Ecom3,In Transit,12/1/2020,Hinsdale,IL,60521,UPS,12/1/2020,41,12
Ecom3,Delivered,12/1/2020,Bloomington,IN,47401,UPS,11/30/2020,39,12
Ecom3,Delivered,12/4/2020,Collegeville,PA,19426,UPS,12/3/2020,21.5,6
Ecom3,Delivered,12/2/2020,Vienna,VA,22181,UPS,12/2/2020,14,4
Ecom3,Delivered,12/2/2020,Vienna,VA,22181,UPS,12/2/2020,13.5,2
Ecom3,In Transit,12/3/2020,Irmo,SC,29063,UPS,12/2/2020,41,12
Ecom3,In Transit,12/4/2020,Anchorage,AK,99501,UPS,12/3/2020,21.5,6
Ecom3,Delivered,12/1/2020,Rowland Heights,CA,91748,UPS,11/28/2020,21.5,6
Ecom3,Delivered,12/3/2020,San Diego,CA,92102,UPS,12/2/2020,21.5,6
Ecom3,In Transit,12/1/2020,Keller,TX,76262,UPS,11/30/2020,39,12
Ecom3,In Transit,12/1/2020,Keller,TX,76262,UPS,11/30/2020,41,12
Ecom3,In Transit,12/4/2020,Hurley,NY,12443,FEH,12/3/2020,21.5,6
Ecom3,Delivered,12/1/2020,Denver,CO,80210,UPS,11/30/2020,21.5,6
Ecom3,In Transit,12/1/2020,Highlands Ranch,CO,80126,UPS,11/29/2020,14,4
Ecom3,Delivered,12/1/2020,Aventura,FL,33180,UPS,11/30/2020,21.5,6
Ecom3,Delivered,12/2/2020,Cincinnati,OH,45242,UPS,12/2/2020,21.5,6
Ecom3,Delivered,12/1/2020,Tampa,FL,33607,UPS,11/29/2020,21.5,6
Ecom3,In Transit,12/3/2020,Nashville,TN,37215-5403,UPS,12/2/2020,21.5,6
Ecom3,Delivered,12/1/2020,OREGON,WI,53575,UPS,11/28/2020,21.5,6
Ecom3,Delivered,12/1/2020,Westbrook,ME,4092,UPS,11/30/2020,21.5,6
Ecom3,In Transit,12/3/2020,Springdale,AR,72762-8943,UPS,12/2/2020,7,2
Ecom3,Delivered,12/1/2020,Raymore,MO,64083,FEH,11/29/2020,21.5,6
Ecom3,Delivered,12/1/2020,Tucson,AZ,85718,UPS,11/28/2020,21.5,6
