State,Population,Population Density (people per sq. mile),Household Size,% Uninsured,% Living in Poverty,% Population 65+,Lockdown Start,Inital Expected Lockdown End,Phase 1 Re-Opening Start,Re-Opening notes,Shipping Laws/Restrictions,Max Shipping Amount,Politcal Alignment Red vs. Blue 2020
Alaska,"731,545",1.28,2.81,14.4,10.8,12.52,"3/13/2020 * events
15th* public schools
23rd state wide ""hunker down order""",3/30/20 *but it was extended,April 24th 2020,"Restaurants can open, but owners say doing it safely is complicated and many are taking it slow.",Wine shipments prohibited in certain areas,Not more than 5 gallons.,Red
California,"39,512,223",253.64,2.96,8.5,14.3,14.78,3/16/20*counties 19th* Statewide,2 wks but continously extended,May 13th,"Re-opening based on county level infection rates.  Different levels of restriction based on Tiered COVID case number thresholds.  Second lockdown from Dec 13-Jan 20 ,  restrictions for indoor gathering capacity and facial covering mandates in effect through March 2022",,No Volume Limits,Blue
Florida,"21,477,737",400.52,2.65,13.5,14.8,20.94,"4/1/20 *restricts activities to ""essential services and activities"" Church/religious gatherings included in ""essential"" category",30 days,9/25/2020 * all restrictions lifted,,Wine shipments prohibited in certain areas,No Volume Limits – Btl cannot exceed 3L,Red
Illinois,"12,671,821",228.24,2.59,7.3,13.1,16.12,"March 17th 2020 *close all schools, 16th close all bars and restaurants, 20th statewide order","March 30, April 30th, indefinitely","May 5th mulit tier reopening, but many business tied up in courts protesting closing orders and restriction.",,,12 cases / Individual / Year,Blue
Indiana,"6,732,219",187.91,2.53,9.1,14.1,16.13,"March 12 large gatherings limited, March 16th restaurants and bars closed, 19th schools closed, 23rd official statewide shutdown",May 1,May 1 multi-stage reopening plan,"Nov 11, 2020 some restrictions re-imposed","Effective July 1, 2015, legislation (SB 113) removes several impediments to direct wine shipping to Indiana consumers, including the requirement that all consumers must have made a one-time face-to-face visit to the winery prior to placing any subsequent orders. Instead, licensed direct shippers are allowed to use standard age verification procedures to ship off-site sales to Indiana consumers. The new law also removes the surety bond requirement and increases the total amount of wine a direct shipper may sell into the state from 3,000 to 5,000 cases per permit year. SB 113 also changes permit fee to a tiered structure based on the amount of wine sold to consumers during the previous calendar year– all wineries shipping 1,000 cases or less into the state pay a $100 fee. Those shipping more than 1000 cases will face a tiered structure that tops out at $500 for those shipping up to 5,000 cases in the permit year.","
Individual limit 24 cases/ calendar year 
Producers are limited to shipping no more than 5,000 cases of wine into the state as a whole per year.",Red
New Jersey,"8,882,190","1,207.80",2.71,8.5,10.4,16.61,"March 16th A new executive order immediately closes casinos, racetracks, gyms and movie theaters (malls will be added March 17) and limits indoor gatherings to no more than 50 people. A day ahead of St. Patrick's Day, the governor closes bars and restaurants, except for takeout. Travel after 8 p.m. is discouraged. All schools must close as of March 18 and colleges can offer only in-person instruction.
On March 21, Murphy will order all New Jerseyans to stay at home except for necessary travel, closes all nonessential businesses and cancels all social gatherings.",unspecified,May 12th,"Closed again Nov 10, 2020 reopen Feb 23rd, 2021- Mar 2","DTC shipping not allowed except for wineries producung less than 250,000 gallons of wine per year.","Not more than 12 cases of wine per year, subject to regulation, to any person within or without this state over 21 years of age for personal consumption and not for resale. A case of wine shall not exceed a maximum of nine liters.",Blue
Noth Dakota,"762,062",11.04,2.31,7.4,10.9,15.73,"March 15th schools ordered to close, 19th bars and restaurants close, 27th business closures expanded","March 30, April 20,","April 27-29, schools still remote May 29 larger re-openings ob bars and restaurants with limited capacity",,A fulfillment warehouse that intends to prepare shipments into ND on behalf of a direct shipper licensee must first receive a logistics shipper license,3 cases / Individual / Month – FedEx Only,Red
Oklahoma,"3,956,971",57.69,2.58,14.2,16,16.05,"March 24 Gov. Stitt issued “Safer at Home” order, urging elderly Oklahomans and people with pre-existing conditions to shelter at home; the order also closes non-essential businesses in Oklahoma counties with confirmed cases.",unspecified,4/22/2022,,Previously had many restrictions but most have been lifted in the past 2 years.,6 cases / Individual / Year,Red
Oregon,"4,217,737",43.94,2.51,7.3,14.1,18.16,"March 12 schools ordered to close starting March 16th, large gatherings of 250+ ppl or more canceled statewide, 24th statewide SIP order",March 31,May 14th,,Limit was increased in May2021 from 2 cases to 5 cases,Five cases of wine that contain not more than nine liters per case to any resident per month,Blue
Wyoming,"578,759",5.96,2.46,11.3,11.1,17.14,"March 20th, 2020 closed schools restaurants bars, March 25th, 2020 statewide closure of all nonessential businesses",April 3,"May 1st, 2020","Restrictions and facial covering requirements extended through Mar 12, 2021","In Wyoming, wineries are allowed to ship directly to consumers provided the winery complies with any licensing and reporting requirements. Common provisions of law permitting DTC wine shipping from wineries include: obtaining a license or permit prior to shipping; collection and payment of excise and/or sales taxes to the recipient state; limits on the quantities of shipments; packaging requirements to ensure wine is not delivered to underage individuals; and reporting of shipments to state authorities.  Not all wineries choose to ship to Wyoming.",12 cases per household per 12 month period,Red
