Unnamed: 0,Company Name,City,State,Shipping Service,Created Date,Item/Bottle Count
0,3,1859,9,8,1/1/20,3.0
1,3,1204,4,8,12/31/19,10.0
2,3,1620,32,1,1/1/20,8.0
3,3,1620,32,1,1/2/20,6.0
4,3,2486,19,3,12/31/19,12.0
5,3,443,32,1,1/2/20,6.0
6,3,542,41,8,1/1/20,6.0
7,3,288,32,3,12/31/19,9.0
8,3,709,9,8,1/1/20,6.0
9,3,212,4,8,1/1/20,6.0
10,3,1422,32,1,1/1/20,6.0
11,3,2108,4,8,1/3/20,6.0
12,3,1898,33,8,1/1/20,6.0
13,3,2130,30,1,12/31/19,12.0
14,3,998,32,1,12/31/19,12.0
15,3,998,32,1,12/31/19,10.0
16,3,839,6,8,1/2/20,6.0
17,3,1419,33,8,1/2/20,5.0
18,3,1979,21,8,12/31/19,12.0
19,3,1149,44,8,1/1/20,6.0
20,3,1620,32,1,1/1/20,2.0
21,3,1838,4,8,1/3/20,6.0
22,3,200,36,8,1/2/20,4.0
23,3,251,5,8,1/1/20,6.0
24,3,820,41,8,1/1/20,6.0
25,3,1375,41,8,1/1/20,6.0
26,3,967,19,3,1/3/20,10.0
27,3,2502,21,8,1/1/20,6.0
28,3,2187,17,8,12/31/19,6.0
29,3,1450,32,1,12/31/19,12.0
30,3,1237,36,8,1/1/20,6.0
31,3,1029,11,8,12/31/19,6.0
32,3,45,21,8,12/31/19,6.0
33,3,1620,32,3,1/2/20,6.0
34,3,529,18,1,1/2/20,6.0
35,3,1094,19,3,1/2/20,6.0
36,3,1055,33,8,12/31/19,6.0
37,3,1593,28,8,12/31/19,6.0
38,3,2177,21,8,1/1/20,6.0
39,3,262,29,8,12/31/19,4.0
40,3,1832,9,8,1/2/20,8.0
41,3,1330,41,8,1/2/20,6.0
42,3,1252,9,8,1/2/20,6.0
43,3,1385,32,1,1/2/20,8.0
44,3,2708,9,8,1/2/20,6.0
45,3,446,40,8,1/2/20,4.0
46,3,1984,15,8,1/1/20,6.0
47,3,106,41,8,12/31/19,3.0
48,3,1178,32,3,1/2/20,6.0
49,3,2332,9,8,12/31/19,12.0
50,3,1620,32,1,1/2/20,9.0
51,3,1193,4,8,12/31/19,12.0
52,3,1620,32,3,1/1/20,6.0
53,3,2575,16,8,1/1/20,12.0
54,3,754,18,3,1/1/20,2.0
55,3,2500,36,8,1/1/20,6.0
56,3,2315,29,8,1/1/20,6.0
57,3,1725,27,1,1/1/20,6.0
58,3,1391,32,3,1/3/20,1.0
59,3,1391,32,3,12/30/19,5.0
60,3,2180,6,8,1/1/20,6.0
61,3,2274,21,8,1/2/20,4.0
62,3,1627,32,1,1/1/20,6.0
63,3,906,41,8,1/3/20,6.0
64,3,2043,44,8,12/31/19,2.0
65,3,2360,33,8,12/31/19,7.0
66,3,328,4,8,1/2/20,6.0
67,3,1810,29,8,1/2/20,6.0
68,3,1147,4,8,1/2/20,6.0
69,3,1933,25,8,1/1/20,12.0
70,3,815,42,8,12/31/19,4.0
71,3,1007,29,8,12/31/19,8.0
72,3,1733,4,8,1/2/20,6.0
73,3,1825,12,3,12/31/19,6.0
74,3,221,33,8,1/2/20,6.0
75,3,1164,4,8,1/1/20,2.0
76,3,445,21,8,12/31/19,4.0
77,3,1865,4,8,1/3/20,6.0
78,3,1445,44,8,1/3/20,12.0
79,3,533,5,8,1/2/20,4.0
80,3,830,40,8,12/31/19,2.0
81,3,2149,32,1,1/1/20,6.0
82,3,745,42,8,1/1/20,6.0
83,3,2516,22,8,1/2/20,6.0
84,3,2389,41,8,1/1/20,12.0
85,3,2611,45,8,12/31/19,6.0
86,3,1888,32,1,1/2/20,12.0
87,3,2483,33,8,1/2/20,6.0
88,3,1881,32,1,1/2/20,6.0
89,3,243,9,8,12/31/19,6.0
90,3,1604,33,8,1/3/20,12.0
91,3,761,21,8,12/31/19,2.0
92,3,2369,38,8,1/3/20,6.0
93,3,1941,39,8,1/2/20,6.0
94,3,1632,4,8,12/31/19,3.0
95,3,1543,38,8,1/3/20,12.0
96,3,1543,38,8,1/3/20,12.0
97,3,288,32,3,1/3/20,6.0
98,3,1893,35,8,12/30/19,1.0
99,3,2683,25,8,1/1/20,6.0
100,3,573,5,8,1/1/20,9.0
101,3,582,26,8,1/2/20,6.0
102,3,452,9,8,1/2/20,6.0
103,3,1465,9,8,12/31/19,12.0
104,3,1009,32,1,12/31/19,4.0
105,3,87,42,8,1/2/20,2.0
106,3,714,47,8,1/1/20,6.0
107,3,692,14,8,1/3/20,6.0
108,3,2378,32,1,1/1/20,12.0
109,3,1554,4,8,1/1/20,6.0
110,3,1620,32,1,12/31/19,12.0
111,3,1620,32,1,12/31/19,12.0
112,3,1336,32,3,1/1/20,6.0
113,3,1851,32,1,1/1/20,6.0
114,3,1084,32,1,1/1/20,6.0
115,3,2585,43,8,12/31/19,12.0
116,3,249,18,3,1/1/20,6.0
117,3,1358,10,8,12/31/19,2.0
118,3,1293,6,8,1/2/20,6.0
119,3,380,36,8,1/2/20,12.0
120,3,542,41,8,1/1/20,6.0
121,3,880,3,8,1/3/20,6.0
122,3,1893,35,8,1/1/20,6.0
123,3,1032,41,8,12/31/19,12.0
124,3,1032,41,8,12/31/19,4.0
125,3,2015,29,8,12/31/19,6.0
126,3,1593,28,2,1/2/20,12.0
127,3,1593,28,2,1/2/20,3.0
128,3,2494,5,8,1/2/20,8.0
129,3,970,36,8,1/2/20,6.0
130,3,60,18,1,12/31/19,4.0
131,3,1864,4,8,1/2/20,4.0
132,3,2341,3,8,1/2/20,12.0
133,3,2066,32,1,1/1/20,6.0
134,3,2528,36,8,12/31/19,6.0
135,3,411,38,8,12/30/19,3.0
136,3,768,9,8,1/2/20,12.0
137,3,1150,44,8,1/2/20,6.0
138,3,233,38,8,12/16/19,6.0
139,3,95,10,8,1/2/20,6.0
140,3,621,29,1,1/1/20,6.0
141,3,1940,29,8,12/31/19,6.0
142,3,1019,21,8,1/1/20,6.0
143,3,542,41,8,1/1/20,6.0
144,3,2500,7,8,1/2/20,4.0
145,3,996,9,8,1/3/20,6.0
146,3,61,32,3,1/1/20,3.0
147,3,1589,14,8,1/2/20,11.0
148,3,949,41,8,1/1/20,12.0
149,3,1620,32,1,1/3/20,6.0
150,3,1081,9,8,1/1/20,3.0
151,3,378,4,8,12/31/19,12.0
152,3,862,19,1,1/2/20,6.0
153,3,684,22,8,12/31/19,8.0
154,3,2609,14,8,1/1/20,6.0
155,3,1958,42,8,1/2/20,6.0
156,3,228,14,8,1/1/20,2.0
157,3,1499,16,8,1/1/20,6.0
158,3,169,41,8,1/1/20,6.0
159,3,2052,19,3,12/31/19,6.0
160,3,2039,14,8,1/2/20,6.0
161,3,1620,32,1,1/1/20,6.0
162,3,2528,36,8,1/2/20,12.0
163,3,1620,32,1,1/1/20,6.0
164,3,818,4,8,1/1/20,6.0
165,3,1383,17,8,1/1/20,12.0
166,3,106,41,8,1/2/20,6.0
167,3,412,18,3,12/31/19,4.0
168,3,1318,4,8,1/2/20,1.0
169,3,1893,35,8,1/1/20,6.0
170,3,288,32,1,1/2/20,6.0
171,3,418,40,8,12/31/19,6.0
172,3,1398,32,1,1/2/20,4.0
173,3,1247,31,8,1/1/20,4.0
174,3,1019,21,8,1/1/20,4.0
175,3,1159,17,8,1/1/20,10.0
176,3,443,32,1,1/2/20,6.0
177,3,2211,29,8,12/31/19,12.0
178,3,2211,29,8,12/31/19,4.0
179,3,938,31,8,1/1/20,6.0
180,3,1464,9,8,1/1/20,4.0
181,3,351,19,1,1/2/20,6.0
182,3,1168,41,8,1/1/20,4.0
183,3,2309,32,1,1/1/20,12.0
184,3,1504,4,8,12/31/19,4.0
185,3,1040,19,3,12/31/19,4.0
186,3,1724,44,8,12/31/19,6.0
187,3,953,29,8,1/3/20,6.0
188,3,1896,32,3,1/1/20,12.0
189,3,1985,19,3,1/2/20,6.0
190,3,2757,32,1,12/24/19,7.0
191,3,2405,14,8,1/3/20,6.0
192,3,81,42,8,1/1/20,6.0
193,3,2751,18,1,1/3/20,12.0
194,3,2160,44,8,12/31/19,4.0
195,3,1029,11,8,1/1/20,6.0
196,3,2097,28,8,1/1/20,6.0
197,3,1104,11,8,1/1/20,6.0
198,3,2280,6,8,1/2/20,6.0
199,3,1893,35,8,1/3/20,6.0
200,3,1659,23,3,1/3/20,6.0
201,3,2109,4,8,1/1/20,6.0
202,3,1620,32,1,1/2/20,6.0
203,3,792,38,8,12/31/19,6.0
204,3,1644,14,8,1/1/20,3.0
205,3,1902,29,8,1/1/20,6.0
206,3,2317,33,8,1/2/20,12.0
207,3,2109,4,8,1/2/20,6.0
208,3,2528,33,8,1/1/20,6.0
209,3,46,36,8,1/1/20,6.0
210,3,1511,29,8,1/1/20,6.0
211,3,2514,36,8,1/1/20,12.0
212,3,1119,11,8,12/31/19,12.0
213,3,1119,11,8,12/31/19,7.0
214,3,542,41,8,12/31/19,6.0
215,3,2156,3,8,1/1/20,6.0
216,3,431,14,8,12/31/19,12.0
217,3,324,14,8,1/1/20,6.0
218,3,864,36,8,1/2/20,8.0
219,3,1938,30,1,1/1/20,6.0
220,3,2466,42,8,1/2/20,6.0
221,3,288,32,3,1/2/20,3.0
222,3,757,20,8,12/13/19,6.0
223,3,385,3,8,1/2/20,4.0
224,3,199,4,8,1/2/20,10.0
225,3,1620,32,3,12/31/19,4.0
226,3,413,25,8,1/2/20,6.0
227,3,861,41,8,1/1/20,2.0
228,3,274,29,8,12/31/19,12.0
229,3,2179,32,1,1/3/20,12.0
230,3,752,32,3,1/3/20,3.0
231,3,1841,36,8,1/1/20,6.0
232,3,2495,18,3,1/1/20,12.0
233,3,2495,18,3,1/1/20,4.0
234,3,2559,6,8,12/31/19,6.0
235,3,1596,36,8,12/31/19,6.0
236,3,416,29,8,1/2/20,4.0
237,3,2473,6,8,1/1/20,6.0
238,3,642,21,8,1/3/20,6.0
239,3,1204,4,8,1/1/20,6.0
240,3,1893,35,8,1/1/20,6.0
241,3,1476,29,8,1/3/20,6.0
242,3,2164,3,8,1/1/20,10.0
243,3,942,18,1,12/31/19,2.0
244,3,217,21,8,1/2/20,4.0
245,3,490,9,8,1/2/20,6.0
246,3,1863,4,8,1/1/20,4.0
247,3,1481,4,8,12/31/19,3.0
248,3,1973,4,8,1/2/20,1.0
249,3,2294,29,8,12/31/19,6.0
250,3,2291,10,8,1/2/20,6.0
251,3,1711,32,1,1/2/20,6.0
252,3,23,39,2,1/1/20,3.0
253,3,962,33,8,1/3/20,6.0
254,3,962,33,8,1/1/20,6.0
255,3,2154,18,1,1/1/20,12.0
256,3,79,25,8,1/1/20,12.0
257,3,1988,32,1,12/31/19,3.0
258,3,573,5,8,1/2/20,6.0
259,3,2363,29,8,1/1/20,6.0
260,3,1421,33,8,1/1/20,4.0
261,3,699,29,8,1/1/20,6.0
262,3,2499,37,8,1/1/20,6.0
263,3,1498,41,8,1/2/20,6.0
264,3,1029,11,8,1/1/20,5.0
265,3,1620,32,1,1/1/20,6.0
266,3,1591,9,8,1/2/20,6.0
267,3,1743,16,8,1/2/20,6.0
268,3,1895,19,1,1/1/20,6.0
269,3,1471,32,1,12/31/19,6.0
270,3,639,37,8,1/1/20,6.0
271,3,1232,5,8,1/1/20,6.0
272,3,2149,32,1,12/31/19,6.0
273,3,2005,10,8,1/1/20,2.0
274,3,1729,38,8,1/2/20,6.0
275,3,490,9,8,1/3/20,4.0
276,3,186,41,8,12/31/19,6.0
277,3,2500,23,1,1/3/20,6.0
278,3,1122,23,1,1/1/20,6.0
279,3,1320,4,8,1/2/20,6.0
280,3,1737,18,1,12/31/19,6.0
281,3,542,41,8,12/31/19,2.0
282,3,1785,9,8,1/2/20,6.0
283,3,517,14,8,1/2/20,6.0
284,3,1029,11,8,12/31/19,6.0
285,3,2506,21,8,1/1/20,4.0
286,3,625,14,8,12/31/19,4.0
287,3,915,25,8,12/31/19,11.0
288,3,1838,4,8,1/2/20,6.0
289,3,1036,33,8,1/1/20,6.0
290,3,1704,4,8,1/3/20,12.0
291,3,1850,36,8,12/31/19,6.0
292,3,459,38,8,1/1/20,12.0
293,3,249,18,3,12/20/19,6.0
294,3,2277,32,1,1/2/20,6.0
295,3,163,21,8,1/2/20,6.0
296,3,1223,44,8,1/3/20,6.0
297,3,1465,9,8,1/1/20,4.0
298,3,1881,32,1,1/2/20,6.0
299,3,590,9,8,1/1/20,3.0
300,3,2575,16,8,12/31/19,2.0
301,3,1620,32,1,12/31/19,6.0
302,3,1629,6,8,1/1/20,3.0
303,3,1850,36,8,12/31/19,4.0
304,3,483,4,8,12/31/19,1.0
305,3,2149,32,1,1/2/20,6.0
306,3,1731,32,3,1/1/20,10.0
307,3,1081,9,8,1/1/20,3.0
308,3,1874,9,8,1/2/20,6.0
309,3,1320,4,8,1/1/20,12.0
310,3,2551,14,8,12/31/19,6.0
311,3,170,33,8,12/31/19,3.0
312,3,320,22,8,1/2/20,6.0
313,3,549,6,8,1/1/20,3.0
314,3,809,40,8,1/2/20,6.0
315,3,1464,9,8,1/1/20,6.0
316,3,790,9,8,1/1/20,6.0
317,3,2353,9,8,1/2/20,6.0
318,3,443,32,1,1/1/20,3.0
319,3,1616,17,8,1/1/20,6.0
320,3,2472,9,8,1/2/20,6.0
321,3,1032,41,8,12/31/19,4.0
322,3,1117,11,8,1/1/20,12.0
323,3,521,10,8,1/2/20,6.0
324,3,2109,4,8,12/30/19,6.0
325,3,1213,14,8,1/1/20,6.0
326,3,542,41,8,12/31/19,12.0
327,3,542,41,8,12/31/19,12.0
328,3,509,36,8,1/2/20,6.0
329,3,526,41,8,1/3/20,4.0
330,3,1973,4,8,12/31/19,2.0
331,3,1591,9,8,1/3/20,6.0
332,3,1845,4,8,12/18/19,6.0
333,3,431,14,8,1/2/20,6.0
334,3,1794,4,8,1/1/20,3.0
335,3,1320,4,8,12/31/19,4.0
336,3,1297,38,8,1/2/20,6.0
337,3,728,4,8,1/2/20,6.0
338,3,1320,4,8,1/1/20,12.0
339,3,542,41,8,12/31/19,4.0
340,3,255,18,1,1/2/20,6.0
341,3,2610,14,8,1/2/20,4.0
342,3,983,29,8,1/2/20,8.0
343,3,275,29,8,12/30/19,5.0
344,3,1570,4,8,12/31/19,3.0
345,3,962,29,8,1/2/20,1.0
346,3,550,19,3,12/31/19,6.0
347,3,1490,10,8,1/1/20,6.0
348,3,2160,44,8,1/2/20,6.0
349,3,2356,5,8,1/2/20,11.0
350,3,2193,19,3,1/1/20,6.0
351,3,542,41,8,1/2/20,6.0
352,3,161,17,8,1/1/20,6.0
353,3,247,29,8,1/1/20,6.0
354,3,1591,9,8,1/1/20,6.0
355,3,1579,4,8,1/1/20,6.0
356,3,288,32,1,1/3/20,8.0
357,3,1618,9,8,12/31/19,4.0
358,3,2294,29,8,1/1/20,6.0
359,3,818,4,8,1/1/20,6.0
360,3,1591,9,8,1/3/20,4.0
361,3,2320,4,8,1/1/20,3.0
362,3,237,9,8,1/3/20,6.0
363,3,87,42,8,1/2/20,8.0
364,3,98,10,8,1/2/20,6.0
365,3,1761,4,8,1/2/20,6.0
366,3,495,32,3,1/2/20,6.0
367,3,1893,35,8,1/1/20,6.0
368,3,1620,32,3,1/1/20,6.0
369,3,555,33,8,12/31/19,4.0
370,3,2047,16,8,1/2/20,6.0
371,3,46,36,8,1/1/20,6.0
372,3,1530,4,8,12/31/19,4.0
373,3,2147,32,1,1/1/20,3.0
374,3,1620,32,1,1/2/20,6.0
375,3,1620,32,1,1/2/20,1.0
376,3,713,4,8,1/2/20,6.0
377,3,2622,4,8,1/1/20,4.0
378,3,1032,41,8,1/1/20,1.0
379,3,431,14,8,12/31/19,6.0
380,3,1389,36,8,1/2/20,6.0
381,3,1209,4,8,1/3/20,3.0
382,3,1320,4,8,12/31/19,4.0
383,3,736,40,8,1/1/20,6.0
384,3,2318,15,8,1/2/20,6.0
385,3,11,21,8,1/3/20,6.0
386,3,573,5,8,1/1/20,6.0
387,3,2550,37,8,1/3/20,6.0
388,3,1186,41,8,1/3/20,6.0
389,3,1464,9,8,12/31/19,4.0
390,3,599,10,8,12/31/19,6.0
391,3,1515,19,1,1/2/20,6.0
392,3,627,22,8,1/1/20,6.0
393,3,77,4,8,12/31/19,3.0
394,3,2241,41,8,1/2/20,6.0
395,3,411,38,8,12/31/19,6.0
396,3,491,9,8,12/31/19,5.0
397,3,2311,44,8,1/1/20,5.0
398,3,249,18,3,1/1/20,6.0
399,3,2439,42,8,1/2/20,4.0
400,3,2662,5,8,1/2/20,8.0
401,3,1841,36,8,12/31/19,4.0
402,3,2655,14,8,1/1/20,12.0
403,3,1204,17,8,1/3/20,6.0
404,3,2661,29,8,1/2/20,6.0
405,3,2332,9,8,1/2/20,6.0
406,3,916,36,8,1/2/20,9.0
407,3,1991,2,8,1/1/20,12.0
408,3,2210,0,8,1/2/20,6.0
409,3,1340,6,8,1/2/20,6.0
410,3,1743,16,8,1/1/20,6.0
411,3,2439,42,8,12/31/19,2.0
412,3,1272,42,8,1/1/20,6.0
413,3,1145,11,8,12/31/19,12.0
414,3,1733,4,8,1/1/20,6.0
415,3,1975,42,8,1/3/20,6.0
416,3,581,22,8,1/1/20,9.0
417,3,2193,19,1,1/1/20,4.0
418,3,2672,9,8,1/1/20,6.0
419,3,2180,6,8,12/31/19,6.0
420,3,2518,32,3,1/1/20,6.0
421,3,1732,33,8,12/31/19,6.0
422,3,1594,40,8,1/2/20,6.0
423,3,288,32,1,12/31/19,3.0
424,3,866,3,8,1/1/20,12.0
425,3,1355,9,8,1/3/20,6.0
426,3,2598,25,8,1/2/20,3.0
427,3,490,9,8,1/1/20,6.0
428,3,249,18,3,1/2/20,3.0
429,3,1032,41,8,1/1/20,6.0
430,3,798,41,8,1/1/20,6.0
431,3,563,9,8,1/2/20,6.0
432,3,2042,3,8,1/2/20,6.0
433,3,1321,4,8,1/2/20,6.0
434,3,1672,36,8,1/3/20,6.0
435,3,1150,44,8,1/2/20,1.0
436,3,917,38,8,1/2/20,6.0
437,3,1704,4,8,1/2/20,3.0
438,3,387,5,8,1/1/20,6.0
439,3,1120,14,8,1/2/20,6.0
440,3,203,2,8,1/2/20,2.0
441,3,1759,9,8,1/2/20,6.0
442,3,2056,33,8,12/31/19,6.0
443,3,1691,29,1,1/3/20,12.0
444,3,431,14,8,12/31/19,6.0
445,3,666,29,8,1/1/20,12.0
446,3,229,25,8,1/3/20,4.0
447,3,12,25,8,1/2/20,6.0
448,3,1247,31,8,1/3/20,6.0
449,3,1204,17,8,1/3/20,6.0
450,3,2678,9,8,1/2/20,6.0
451,3,2115,4,8,1/2/20,12.0
452,3,2690,36,8,12/31/19,12.0
453,3,2690,36,8,12/31/19,6.0
454,3,41,42,8,1/2/20,6.0
455,3,2332,9,8,12/31/19,8.0
456,3,431,14,8,1/1/20,6.0
457,3,1029,11,8,1/1/20,6.0
458,3,2329,44,8,1/1/20,6.0
459,3,1042,32,3,12/31/19,6.0
460,3,521,10,8,1/2/20,12.0
461,3,1289,46,8,1/1/20,4.0
462,3,257,36,8,1/1/20,6.0
463,3,1032,41,8,1/3/20,6.0
464,3,2437,42,8,1/3/20,6.0
465,3,98,10,8,1/1/20,4.0
466,3,329,33,8,12/31/19,2.0
467,3,523,39,8,1/1/20,6.0
468,3,861,41,8,12/31/19,7.0
469,3,168,32,3,12/20/19,12.0
470,3,1448,9,8,12/29/19,5.0
471,3,1535,29,8,12/31/19,2.0
472,3,1059,15,8,12/31/19,6.0
473,3,730,38,8,1/2/20,6.0
474,3,809,40,8,12/24/19,12.0
475,3,2268,32,1,1/1/20,12.0
476,3,2268,32,1,1/1/20,12.0
477,3,1464,9,8,12/31/19,6.0
478,3,2109,4,8,1/1/20,2.0
479,3,503,4,8,1/1/20,6.0
480,3,1029,11,8,12/31/19,4.0
481,3,2273,21,8,1/2/20,3.0
482,3,485,2,8,1/2/20,8.0
483,3,423,5,8,1/1/20,6.0
484,3,1620,32,1,1/3/20,5.0
485,3,1355,9,8,1/3/20,4.0
486,3,1176,36,8,12/31/19,4.0
487,3,888,5,8,1/1/20,12.0
488,3,888,5,8,1/1/20,3.0
489,3,1081,9,8,1/2/20,6.0
490,3,802,3,8,1/2/20,4.0
491,3,224,44,8,12/31/19,6.0
492,3,1842,3,8,1/2/20,8.0
493,3,2106,4,8,12/31/19,3.0
494,3,2193,19,1,1/2/20,4.0
495,3,908,24,8,1/1/20,6.0
496,3,1551,36,8,12/24/19,6.0
497,3,2474,4,8,1/2/20,6.0
498,3,1043,4,8,1/3/20,12.0
499,3,1445,33,8,1/2/20,6.0
500,3,2437,42,8,12/31/19,12.0
501,3,1036,45,8,12/31/19,6.0
502,3,188,29,8,1/1/20,8.0
503,3,1620,32,1,1/2/20,2.0
504,3,941,11,8,1/1/20,5.0
505,3,1973,6,8,1/2/20,8.0
506,3,1272,42,8,1/2/20,2.0
507,3,413,25,8,1/2/20,12.0
508,3,1023,32,1,1/2/20,12.0
509,3,186,41,8,1/1/20,6.0
510,3,790,9,8,1/2/20,6.0
511,3,2412,29,8,12/26/19,6.0
512,3,98,10,8,1/1/20,6.0
513,3,431,14,8,1/2/20,4.0
514,3,2218,9,8,1/2/20,1.0
515,3,2733,42,8,1/2/20,6.0
516,3,1548,38,8,1/1/20,6.0
517,3,1591,9,8,1/1/20,12.0
518,3,2744,6,8,12/31/19,6.0
519,3,1032,41,8,1/1/20,12.0
520,3,573,5,8,1/2/20,3.0
521,3,2760,36,8,1/1/20,12.0
522,3,564,4,8,1/1/20,6.0
523,3,2526,32,1,1/1/20,6.0
524,3,1802,29,8,1/2/20,6.0
525,3,81,42,8,1/2/20,8.0
526,3,964,18,3,1/2/20,6.0
527,3,1643,42,8,12/31/19,3.0
528,3,65,0,8,1/1/20,12.0
529,3,69,21,8,1/2/20,7.0
530,3,174,38,8,1/1/20,12.0
531,3,174,38,8,1/1/20,12.0
532,3,174,38,8,1/1/20,4.0
533,3,1792,9,8,1/1/20,5.0
534,3,1620,32,1,12/31/19,6.0
535,3,1043,4,8,1/2/20,6.0
536,3,2005,10,8,1/1/20,6.0
537,3,2261,10,8,1/2/20,12.0
538,3,21,41,8,1/1/20,12.0
539,3,1464,9,8,1/2/20,6.0
540,3,75,45,8,12/31/19,2.0
541,3,1284,27,3,1/2/20,3.0
542,3,1690,4,8,1/2/20,2.0
543,3,1589,14,8,1/2/20,12.0
544,3,413,25,8,1/1/20,6.0
545,3,1465,9,8,12/31/19,6.0
546,3,2672,9,8,12/31/19,6.0
547,3,949,41,8,1/2/20,6.0
548,3,2180,6,8,1/2/20,4.0
549,3,161,17,8,12/30/19,6.0
550,3,81,42,8,1/2/20,6.0
551,3,603,25,8,1/2/20,6.0
552,3,1620,32,1,1/1/20,6.0
553,3,2020,4,8,1/2/20,12.0
554,3,1676,21,8,12/31/19,6.0
555,3,630,36,8,1/1/20,12.0
556,3,1032,41,8,12/31/19,6.0
557,3,2512,25,8,1/1/20,8.0
558,3,2368,4,8,1/1/20,6.0
559,3,1821,4,8,1/1/20,12.0
560,3,278,42,8,1/1/20,4.0
561,3,1620,32,1,12/25/19,6.0
562,3,527,45,8,12/31/19,1.0
563,3,496,39,8,1/2/20,12.0
564,3,304,42,8,1/2/20,12.0
565,3,2221,41,8,1/1/20,6.0
566,3,2242,41,8,1/3/20,4.0
567,3,2500,7,8,1/3/20,3.0
568,3,2500,7,8,12/30/19,9.0
569,3,1042,46,8,1/1/20,6.0
570,3,2394,25,8,1/1/20,6.0
592,3,1454,4,8,1/6/20,6.0
593,3,2430,4,8,1/5/20,6.0
594,3,798,41,8,1/7/20,8.0
595,3,1620,32,1,1/4/20,6.0
596,3,2632,4,8,1/5/20,6.0
597,3,2413,4,8,1/5/20,9.0
598,3,288,32,1,1/5/20,6.0
599,3,384,25,8,1/7/20,4.0
600,3,1804,5,8,1/4/20,6.0
601,3,1620,32,3,1/9/20,6.0
602,3,2454,36,8,1/4/20,6.0
603,3,107,41,8,1/6/20,6.0
604,3,643,18,3,1/6/20,6.0
605,3,2145,22,8,1/9/20,2.0
606,3,94,32,1,1/5/20,7.0
607,3,416,29,8,1/6/20,6.0
608,3,1802,29,8,1/3/20,12.0
609,3,2594,5,8,1/6/20,6.0
610,3,522,4,8,1/8/20,4.0
611,3,2183,35,8,1/10/20,1.0
612,3,1956,31,8,1/5/20,6.0
613,3,1569,32,3,1/8/20,8.0
614,3,249,18,1,1/5/20,6.0
615,3,227,21,8,1/8/20,6.0
616,3,1381,29,8,1/4/20,8.0
617,3,1624,29,8,1/6/20,4.0
618,3,2500,7,8,1/6/20,6.0
619,3,1476,19,1,1/6/20,6.0
620,3,113,41,8,1/4/20,6.0
621,3,918,6,8,1/6/20,6.0
622,3,270,40,8,1/4/20,4.0
623,3,2509,32,3,1/7/20,6.0
624,3,2530,12,1,1/3/20,6.0
625,3,1017,14,8,1/6/20,12.0
626,3,161,17,8,1/6/20,4.0
627,3,700,29,8,1/9/20,4.0
628,3,1140,9,8,1/7/20,6.0
629,3,865,44,8,1/7/20,6.0
630,3,1065,4,8,1/9/20,6.0
631,3,100,29,8,1/8/20,8.0
632,3,198,35,8,1/3/20,6.0
633,3,1494,22,8,1/4/20,12.0
634,3,1792,9,8,1/10/20,6.0
635,3,2247,36,8,1/5/20,6.0
636,3,1481,4,8,1/4/20,4.0
637,3,98,10,8,1/6/20,6.0
638,3,1272,42,8,1/4/20,6.0
639,3,1568,32,3,1/3/20,12.0
640,3,1032,41,8,1/5/20,6.0
641,3,1066,41,8,1/7/20,6.0
642,3,98,10,8,1/6/20,6.0
643,3,793,9,8,1/7/20,6.0
644,3,2500,7,8,1/5/20,6.0
645,3,160,14,8,1/6/20,6.0
646,3,1464,9,8,1/5/20,6.0
647,3,2334,32,1,1/7/20,6.0
648,3,1787,4,8,1/5/20,6.0
649,3,1026,14,8,1/5/20,6.0
650,3,1481,4,8,1/6/20,6.0
651,3,1155,40,8,1/3/20,6.0
652,3,297,32,3,1/5/20,6.0
653,3,1836,36,8,1/4/20,6.0
654,3,411,38,8,1/10/20,6.0
655,3,1620,32,3,1/6/20,6.0
656,3,1032,41,8,1/5/20,6.0
657,3,549,14,8,1/4/20,6.0
658,3,288,32,3,1/5/20,6.0
659,3,2236,32,1,1/4/20,12.0
660,3,2236,32,1,1/4/20,2.0
661,3,1893,35,8,1/5/20,6.0
662,3,706,36,8,1/4/20,6.0
663,3,968,38,8,1/9/20,12.0
664,3,968,38,8,1/9/20,1.0
665,3,2156,3,8,1/5/20,6.0
666,3,2646,19,1,1/8/20,6.0
667,3,2116,4,8,1/5/20,6.0
668,3,1059,15,8,1/8/20,6.0
669,3,2600,9,8,1/10/20,12.0
670,3,745,42,8,1/5/20,6.0
671,3,231,36,8,1/5/20,12.0
672,3,16,25,8,1/4/20,6.0
673,3,1312,32,1,1/6/20,8.0
674,3,594,28,8,1/8/20,2.0
675,3,2018,32,1,1/7/20,6.0
676,3,861,41,8,1/6/20,7.0
677,3,1620,32,3,1/4/20,6.0
678,3,1257,32,3,1/6/20,6.0
679,3,300,41,8,1/5/20,6.0
680,3,1447,9,8,1/5/20,6.0
681,3,1850,36,8,1/8/20,6.0
682,3,1614,6,8,1/5/20,4.0
683,3,400,33,8,1/9/20,3.0
684,3,809,18,1,1/6/20,6.0
685,3,2558,18,3,1/5/20,6.0
686,3,1103,9,8,1/4/20,12.0
687,3,414,42,8,1/5/20,6.0
688,3,1620,32,1,1/9/20,6.0
689,3,2258,23,3,1/7/20,9.0
690,3,1032,41,8,1/8/20,3.0
691,3,1063,4,8,1/7/20,3.0
692,3,32,11,8,1/7/20,4.0
